,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Capital Surplus,11744000000.0,11741000000.0,11735000000.0,11727000000.0,11704000000.0,11686000000.0,11645000000.0,11600000000.0
Total Liab,12805000000.0,12733000000.0,12591000000.0,12783000000.0,12819000000.0,12705000000.0,13308000000.0,11624000000.0
Total Stockholder Equity,-1635000000.0,-1641000000.0,-1639000000.0,-1258000000.0,-964000000.0,-1095000000.0,-1595000000.0,-18000000.0
Minority Interest,1591000000.0,1604000000.0,1602000000.0,1602000000.0,1657000000.0,1580000000.0,1590000000.0,870000000.0
Deferred Long Term Liab,589000000.0,556000000.0,509000000.0,493000000.0,512000000.0,515000000.0,570000000.0,584000000.0
Other Current Liab,241000000.0,208000000.0,178000000.0,200000000.0,299000000.0,276000000.0,337000000.0,453000000.0
Total Assets,12999000000.0,12875000000.0,12746000000.0,13127000000.0,13512000000.0,13310000000.0,13303000000.0,12476000000.0
Common Stock,262000000.0,262000000.0,262000000.0,262000000.0,262000000.0,262000000.0,262000000.0,262000000.0
Other Current Assets,120000000.0,103000000.0,119000000.0,145000000.0,76000000.0,102000000.0,155000000.0,174000000.0
Retained Earnings,-10467000000.0,-10471000000.0,-10461000000.0,-10073000000.0,-9757000000.0,-9870000000.0,-9488000000.0,-7605000000.0
Other Liab,2572000000.0,2601000000.0,2368000000.0,2732000000.0,2626000000.0,3673000000.0,3744000000.0,3746000000.0
Treasury Stock,-3174000000.0,-3173000000.0,-3175000000.0,-3174000000.0,-3173000000.0,-3173000000.0,-4014000000.0,-4275000000.0
Other Assets,589000000.0,565000000.0,526000000.0,497000000.0,512000000.0,1255000000.0,1223000000.0,1225000000.0
Cash,135000000.0,162000000.0,262000000.0,538000000.0,1249000000.0,377000000.0,302000000.0,234000000.0
Total Current Liabilities,1710000000.0,1382000000.0,1308000000.0,1338000000.0,1773000000.0,1839000000.0,2117000000.0,2114000000.0
Other Stockholder Equity,15000000.0,16000000.0,14000000.0,15000000.0,15000000.0,15000000.0,22000000.0,21000000.0
Property Plant Equipment,9344000000.0,9067000000.0,8819000000.0,8718000000.0,8501000000.0,8336000000.0,8335000000.0,8082000000.0
Total Current Assets,1658000000.0,1719000000.0,1846000000.0,2345000000.0,2945000000.0,2181000000.0,2380000000.0,2593000000.0
Long Term Investments,1408000000.0,1524000000.0,1555000000.0,1567000000.0,1554000000.0,1538000000.0,1365000000.0,576000000.0
Net Tangible Assets,-1635000000.0,-1641000000.0,-1639000000.0,-1258000000.0,-964000000.0,-1095000000.0,-1595000000.0,-18000000.0
Net Receivables,871000000.0,899000000.0,908000000.0,1071000000.0,1068000000.0,1170000000.0,1394000000.0,1630000000.0
Long Term Debt,8487000000.0,8714000000.0,8734000000.0,8678000000.0,8386000000.0,7159000000.0,7261000000.0,5731000000.0
Inventory,477000000.0,503000000.0,492000000.0,502000000.0,479000000.0,476000000.0,473000000.0,529000000.0
Accounts Payable,459000000.0,395000000.0,444000000.0,524000000.0,603000000.0,687000000.0,731000000.0,735000000.0
Deferred Long Term Asset Charges,,,12000000.0,,,,13000000.0,
Short Long Term Debt,292000000.0,183000000.0,,,213000000.0,213000000.0,,
