,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-161000000.0,-85000000.0,154000000.0,-275000000.0,-699000000.0,-528000000.0,344000000.0,-92000000.0,32000000.0
Net Borrowings,-750000000.0,1121000000.0,-98000000.0,-757000000.0,-757000000.0,-757000000.0,-757000000.0,-683000000.0,-1000000.0
Total Cash From Financing Activities,-898000000.0,1069000000.0,-106000000.0,-11000000.0,138000000.0,-784000000.0,-784000000.0,-693000000.0,-22000000.0
Change To Operating Activities,-38000000.0,-38000000.0,86000000.0,-59000000.0,-83000000.0,-27000000.0,68000000.0,-24000000.0,9000000.0
Net Income,-352000000.0,-313000000.0,-64000000.0,-152000000.0,-60000000.0,-119000000.0,320000000.0,116000000.0,256000000.0
Change In Cash,-1229000000.0,835000000.0,-92000000.0,-335000000.0,-550000000.0,-412000000.0,-226000000.0,-523000000.0,455000000.0
Effect Of Exchange Rate,2000000.0,3000000.0,3000000.0,2000000.0,2000000.0,-2000000.0,1000000.0,1000000.0,-2000000.0
Total Cash From Operating Activities,-172000000.0,-149000000.0,-143000000.0,-49000000.0,9000000.0,118000000.0,214000000.0,261000000.0,447000000.0
Depreciation,168000000.0,166000000.0,167000000.0,165000000.0,169000000.0,171000000.0,165000000.0,172000000.0,162000000.0
Other Cashflows From Investing Activities,,,,,,7000000.0,7000000.0,7000000.0,7000000.0
Dividends Paid,-176800000.0,,,,,-21000000.0,-21000000.0,-21000000.0,-21000000.0
Change To Netincome,11000000.0,33000000.0,-334000000.0,-5000000.0,-20000000.0,91000000.0,-342000000.0,-6000000.0,18000000.0
Investments,-2000000.0,-1000000.0,-1000000.0,-5000000.0,-3000000.0,-1000000.0,-2000000.0,-44000000.0,
Other Cashflows From Financing Activities,-7000000.0,-52000000.0,-8000000.0,-11000000.0,-27000000.0,-27000000.0,-27000000.0,-10000000.0,
Issuance Of Stock,,,138000000.0,138000000.0,138000000.0,,,,
