,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-1000000.0,1000000.0,9000000.0,6000000.0,-1000000.0,-6000000.0,2000000.0
Change To Liabilities,-126000000.0,14000000.0,91000000.0,419000000.0,344000000.0,-41000000.0,333000000.0
Total Cashflows From Investing Activities,-21000000.0,51000000.0,-37000000.0,-82000000.0,-767000000.0,-204000000.0,-218000000.0
Net Borrowings,974000000.0,-422000000.0,-20000000.0,-13000000.0,-31000000.0,36000000.0,394000000.0
Total Cash From Financing Activities,607000000.0,-1508000000.0,-547000000.0,-532000000.0,-571000000.0,-481000000.0,-357000000.0
Change To Operating Activities,126000000.0,-19000000.0,-104000000.0,-10000000.0,57000000.0,-151000000.0,-44000000.0
Issuance Of Stock,3000000.0,33000000.0,31000000.0,102000000.0,27000000.0,18000000.0,8000000.0
Net Income,-182000000.0,441000000.0,451000000.0,343000000.0,574000000.0,269000000.0,381000000.0
Change In Cash,1336000000.0,-395000000.0,-116000000.0,50000000.0,-437000000.0,-115000000.0,-120000000.0
Repurchase Of Stock,-1000000.0,-704000000.0,-367000000.0,-323000000.0,-341000000.0,-309000000.0,-573000000.0
Effect Of Exchange Rate,-36000000.0,87000000.0,-11000000.0,20000000.0,58000000.0,49000000.0,67000000.0
Total Cash From Operating Activities,786000000.0,975000000.0,479000000.0,644000000.0,843000000.0,521000000.0,388000000.0
Depreciation,202000000.0,206000000.0,207000000.0,212000000.0,208000000.0,218000000.0,224000000.0
Dividends Paid,-194000000.0,-194000000.0,-190000000.0,-187000000.0,-193000000.0,-192000000.0,-191000000.0
Change To Inventory,56000000.0,250000000.0,-98000000.0,-113000000.0,7000000.0,-15000000.0,-376000000.0
Change To Account Receivables,184000000.0,106000000.0,224000000.0,-57000000.0,-324000000.0,14000000.0,-75000000.0
Other Cashflows From Financing Activities,-175000000.0,-221000000.0,-1000000.0,-111000000.0,-33000000.0,-34000000.0,5000000.0
Change To Netincome,485000000.0,-371000000.0,-314000000.0,-132000000.0,15000000.0,-135000000.0,-138000000.0
Capital Expenditures,-97000000.0,-96000000.0,-91000000.0,-106000000.0,-127000000.0,-228000000.0,-135000000.0
Other Cashflows From Investing Activities,,36000000.0,36000000.0,36000000.0,36000000.0,,
