,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,323000000.0,312000000.0,318000000.0,313000000.0,299000000.0,283000000.0,269000000.0,257000000.0,254000000.0
Capital Surplus,15390000000.0,15895000000.0,21574000000.0,27260000000.0,27623000000.0,28205000000.0,28922000000.0,29803000000.0,30485000000.0
Total Liab,26578000000.0,26798000000.0,28191000000.0,28469000000.0,28507000000.0,28896000000.0,29340000000.0,30548000000.0,30632000000.0
Total Stockholder Equity,9173000000.0,9855000000.0,16031000000.0,22225000000.0,23017000000.0,24804000000.0,27053000000.0,30189000000.0,34085000000.0
Minority Interest,1499000000.0,1482000000.0,1469000000.0,1454000000.0,1448000000.0,1446000000.0,1441000000.0,1394000000.0,1321000000.0
Other Current Liab,3410000000.0,3305000000.0,3655000000.0,4147000000.0,4412000000.0,4621000000.0,5024000000.0,4756000000.0,5288000000.0
Total Assets,37250000000.0,38135000000.0,45691000000.0,52148000000.0,52972000000.0,55146000000.0,57834000000.0,62131000000.0,66038000000.0
Common Stock,,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,193000000.0,203000000.0,174000000.0,238000000.0,305000000.0,326000000.0,327000000.0,345000000.0,297000000.0
Retained Earnings,-6104000000.0,-6000000000.0,-5669000000.0,-5399000000.0,-4750000000.0,-3608000000.0,-1990000000.0,331000000.0,3649000000.0
Other Liab,2891000000.0,3010000000.0,3151000000.0,3302000000.0,3247000000.0,3210000000.0,3190000000.0,3896000000.0,4210000000.0
Good Will,193000000.0,196000000.0,203000000.0,207000000.0,206000000.0,203000000.0,201000000.0,200000000.0,200000000.0
Treasury Stock,-113000000.0,-40000000.0,125000000.0,363000000.0,143000000.0,206000000.0,120000000.0,54000000.0,-50000000.0
Other Assets,1373000000.0,1415000000.0,1436000000.0,1536000000.0,2918000000.0,2937000000.0,3114000000.0,3398000000.0,3895000000.0
Cash,8080000000.0,8615000000.0,14531000000.0,19384000000.0,17141000000.0,16229000000.0,16065000000.0,17576000000.0,17505000000.0
Total Current Liabilities,11986000000.0,12270000000.0,13302000000.0,14248000000.0,14877000000.0,16371000000.0,18051000000.0,19705000000.0,21455000000.0
Short Long Term Debt,2904000000.0,3364000000.0,2814000000.0,1758000000.0,1415000000.0,1082000000.0,1207000000.0,1088000000.0,1168000000.0
Other Stockholder Equity,-113000000.0,-40000000.0,125000000.0,363000000.0,143000000.0,206000000.0,120000000.0,54000000.0,-50000000.0
Property Plant Equipment,20468000000.0,20876000000.0,21990000000.0,23375000000.0,24844000000.0,27030000000.0,29248000000.0,31176000000.0,32639000000.0
Total Current Assets,14893000000.0,15336000000.0,21744000000.0,26717000000.0,24705000000.0,24693000000.0,25002000000.0,27100000000.0,29050000000.0
Net Tangible Assets,8657000000.0,9347000000.0,15510000000.0,21705000000.0,22512000000.0,24318000000.0,26583000000.0,29732000000.0,33631000000.0
Short Term Investments,,,,,,,30000000.0,131000000.0,508000000.0
Net Receivables,1274000000.0,1495000000.0,1766000000.0,1903000000.0,1913000000.0,2159000000.0,2000000000.0,1986000000.0,2424000000.0
Long Term Debt,9573000000.0,9333000000.0,9506000000.0,8571000000.0,8019000000.0,6915000000.0,5471000000.0,4285000000.0,2253000000.0
Inventory,4494000000.0,4018000000.0,4218000000.0,4101000000.0,4132000000.0,4733000000.0,5199000000.0,5757000000.0,6691000000.0
Accounts Payable,3970000000.0,3638000000.0,4958000000.0,6051000000.0,6648000000.0,7558000000.0,8260000000.0,10025000000.0,11171000000.0
